id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
158692026 13.8210 0.0213153790682554 0.00139999995008111 1911.48291015625 2747.41137695312 312.76516 44.194389 0.001016693 0.0 13.5973 5193 R Red 2458341.46389468 7 2 "[118] IC5070_incl_201_V2492Cyg" 5030
136061814 15.1395 0.0931055471301079 0.0326999984681606 345.157592773438 484.573211669922 312.765229 44.195024 0.001832666 0.0 12.6793 6304 B B-BAND 2458329.42667824 35 41 "[118] IC5070_incl_201_V2492Cyg" 4375
21578913 13.8082 0.0267374850809574 0.00329999998211861 2237.88208007812 1457.23376464844 312.765247 44.193763 0.001022861 0.0 13.9296 1532 R Red 2457759.23554832 7 2 "[118] IC5070_incl_201_V2492Cyg" 1432
81901236 13.4190 0.0215873494744301 0.00270000007003546 2163.88452148438 1361.99450683594 312.7653 44.193814 0.0009925942 0.0 14.2621 8318 I I-Band 2458431.29967448 7 2 "[118] IC5070_incl_201_V2492Cyg" 8144
51933503 13.3777 0.0181006658822298 0.0015999999595806 1941.16149902344 2731.09521484375 312.76533 44.194734 0.000991271 0.0 13.8886 4105 I I-Band 2458228.6204186 7 2 "[118] IC5070_incl_201_V2492Cyg" 3817
30132886 13.3521 0.0393921136856079 0.0020000000949949 1959.61328125 2785.51782226562 312.765333 44.194541 0.001542722 0.0 14.0818 2516 I I-Band 2457926.5037037 7 2 "[118] IC5070_incl_201_V2492Cyg" 2284
34028268 13.7192 0.0416549183428288 0.00130000000353903 1947.57653808594 2743.97509765625 312.765349 44.194455 0.001080134 0.0 13.6683 2804 R Red 2457993.45355019 7 2 "[118] IC5070_incl_201_V2492Cyg" 2547
51387412 13.4901 0.0184393655508757 0.0019000000320375 1935.64526367188 2722.14672851562 312.76535 44.195077 0.001081559 0.0 14.0498 4081 I I-Band 2458226.62025546 7 2 "[118] IC5070_incl_201_V2492Cyg" 3797
25884475 13.4284 0.0169459078460932 0.0031999999191612 1988.02416992188 2736.31420898438 312.765369 44.194258 0.001082585 0.0 15.0210 2210 I I-Band 2457863.58022377 7 2 "[118] IC5070_incl_201_V2492Cyg" 1981
65085706 14.2082 0.0452791973948479 0.00820000004023314 442.715393066406 1101.71142578125 312.765378 44.193862 0.001672933 0.0 13.0264 5049 V -SG- 2458332.37138889 33 56 "[118] IC5070_incl_201_V2492Cyg" 4603
60343967 13.4010 0.0270020570605993 0.00300000002607703 2120.58862304688 1323.2275390625 312.76539 44.194326 0.0006889082 0.0 14.3546 4626 I I-Band 2458313.58793692 7 2 "[118] IC5070_incl_201_V2492Cyg" 4468
25899111 13.8068 0.0480129830539227 0.00300000002607703 1990.14086914062 2731.98071289062 312.765418 44.195027 0.001087324 0.0 14.6414 2211 R Red 2457863.57847136 7 2 "[118] IC5070_incl_201_V2492Cyg" 1982
66312600 14.1091 0.224028825759888 0.00419999985024333 568.385192871094 690.796997070312 312.765418 44.195155 0.001055114 0.0 11.4391 5377 R SR 2458335.415273 42 53 "[118] IC5070_incl_201_V2492Cyg" 5340
36808399 13.4110 0.0430327877402306 0.0019000000320375 1832.01525878906 2737.54760742188 312.765428 44.194479 0.0009413396 0.0 13.9474 2933 I I-Band 2458016.35776042 7 2 "[118] IC5070_incl_201_V2492Cyg" 2667
