id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
67835172 14.2133 0.0828952044248581 0.00899999961256981 419.921691894531 32.1242980957031 312.756759 44.260846 0.003305687 0.0 13.8386 6165 I I 2458357.42740741 40 49 "[118] IC5070_incl_201_V2492Cyg" 5872
125706741 15.3442 0.265161544084549 0.0500999987125397 2130.4091796875 1580.55810546875 312.7563 44.260847 0.001266034 0.0 18.2512 13586 HA H-alpha 2458707.57217998 7 2 "[118] IC5070_incl_201_V2492Cyg" 13213
16484617 14.5267 0.0670146718621254 0.00620000017806888 2130.33178710938 1664.26708984375 312.756452 44.260848 0.001188844 3.0 14.9719 1118 I I-Band 2457680.31440393 7 2 "[118] IC5070_incl_201_V2492Cyg" 1066
67118907 16.0567 0.185891851782799 0.0608000010251999 729.461486816406 951.026916503906 312.755937 44.26085 0.002414146 0.0 15.6082 5962 V -SG- 2458352.39102981 33 56 "[118] IC5070_incl_201_V2492Cyg" 5704
65873067 14.3255 0.115542337298393 0.0105999996885657 411.211303710938 82.2240982055664 312.756724 44.260851 0.003397067 0.0 14.2173 5319 I I 2458329.45195602 40 49 "[118] IC5070_incl_201_V2492Cyg" 5304
70156628 15.9533 0.0811670050024986 0.0498000010848045 699.307006835938 916.552429199219 312.755588 44.260855 0.003113008 0.0 14.2547 7060 V -V- 2458381.45055652 33 56 "[118] IC5070_incl_201_V2492Cyg" 7074
171199155 17.4216 0.212488457560539 0.142199993133545 2052.79663085938 2565.22314453125 312.755624 44.260856 0.001545395 0.0 18.2334 28669 B Blue 2458975.57833449 7 2 "[118] IC5070_incl_201_V2492Cyg" 28002
43691732 14.1888 0.0390188656747341 0.0141000002622604 2109.88330078125 1597.53137207031 312.756431 44.260858 0.003359733 0.0 14.4227 3389 I I-Band 2458086.23295139 7 2 "[118] IC5070_incl_201_V2492Cyg" 3059
43735577 15.0390 0.041500560939312 0.0120000001043081 2108.83764648438 1596.48449707031 312.756746 44.260858 0.003251408 0.0 14.3337 3390 R Red 2458086.23384259 7 2 "[118] IC5070_incl_201_V2492Cyg" 3060
171180576 16.0509 0.140181556344032 0.0395999997854233 2055.15551757812 2565.29467773438 312.756063 44.260858 0.0008543977 0.0 16.9604 28671 V Visual 2458975.57582755 7 2 "[118] IC5070_incl_201_V2492Cyg" 28005
68006521 14.7185 0.0475893281400204 0.00980000011622906 2165.8662109375 1608.27270507812 312.755978 44.26086 0.0008737404 3.0 15.5829 6261 I I-Band 2458360.49699219 7 2 "[118] IC5070_incl_201_V2492Cyg" 5962
20286971 14.5733 0.0399030819535255 0.00540000014007092 2174.59692382812 1668.93395996094 312.75593 44.260862 0.0008576321 3.0 15.0573 1441 I I-Band 2457723.23898872 7 2 "[118] IC5070_incl_201_V2492Cyg" 1344
5346839 16.3863 0.0834304839372635 0.0104000000283122 2048.19409179688 2505.0146484375 312.757625 44.260864 0.001292521 3.0 15.7574 464 R Red 2457511.57535769 7 2 "[118] IC5070_incl_201_V2492Cyg" 427
69124986 15.2514 0.13372029364109 0.0292000006884336 703.8759765625 954.689208984375 312.756313 44.260865 0.00311281 0.0 13.7883 6597 R -SR- 2458371.35782872 33 56 "[118] IC5070_incl_201_V2492Cyg" 6642
94460443 14.2868 0.117362707853317 0.0136000001803041 990.779724121094 916.666015625 312.756248 44.260866 0.003489348 0.0 15.4839 10323 I I 2458582.94814815 54 111 "[118] IC5070_incl_201_V2492Cyg" 10510
133569895 17.7049 0.0 0.108000002801418 426.661285400391 238.678100585938 312.757283 44.260867 0.001481563 512.0 17.0335 14157 B B 2458725.40912037 70 107 "[118] IC5070_incl_201_V2492Cyg" 13795
21540342 14.5574 0.0388547033071518 0.00779999978840351 2190.953125 1675.63012695312 312.756656 44.260868 0.0009263919 3.0 15.3421 1528 I I-Band 2457738.22918981 7 2 "[118] IC5070_incl_201_V2492Cyg" 1428
142358262 15.8337 0.07872074842453 0.0216000005602837 2137.38232421875 1579.63073730469 312.755807 44.260868 0.003097739 0.0 16.0874 14716 V Visual 2458747.37 7 2 "[118] IC5070_incl_201_V2492Cyg" 14300
83215149 14.5204 0.0392341464757919 0.00410000002011657 2133.22875976562 1602.53588867188 312.755684 44.260869 0.001098059 3.0 14.7006 8495 I I-Band 2458440.3113696 7 2 "[118] IC5070_incl_201_V2492Cyg" 8315
44490088 15.6196 0.067536361515522 0.00939999986439943 2242.83618164062 1723.14501953125 312.756367 44.260874 0.001303814 3.0 15.0285 3450 R Red 2458095.36394097 7 2 "[118] IC5070_incl_201_V2492Cyg" 3272
70331071 15.9545 0.0 0.0384000018239021 760.269897460938 812.728271484375 312.756484 44.260874 0.003671133 512.0 14.9867 7005 V V 2458372.6374537 31 39 "[118] IC5070_incl_201_V2492Cyg" 7019
70708680 15.8588 0.0835955515503883 0.0184000004082918 2107.921875 1600.68005371094 312.755703 44.260878 0.003358546 0.0 15.4474 7078 V Visual 2458379.40028067 7 2 "[118] IC5070_incl_201_V2492Cyg" 6982
21051444 14.6851 0.0508851893246174 0.00609999988228083 2157.41845703125 1668.49829101562 312.756153 44.26088 0.0008626953 3.0 15.1197 1473 I I-Band 2457726.22525463 7 2 "[118] IC5070_incl_201_V2492Cyg" 1374
65853456 14.3800 0.107457935810089 0.0166999995708466 213.55419921875 54.0083999633789 312.756143 44.260883 0.003583202 0.0 14.8822 5316 I I 2458325.4740625 40 49 "[118] IC5070_incl_201_V2492Cyg" 5301
39825943 14.5662 0.0391125530004501 0.00460000010207295 2168.75756835938 1608.24951171875 312.756111 44.260885 0.001007249 3.0 15.0273 3129 I I-Band 2458054.36731739 7 2 "[118] IC5070_incl_201_V2492Cyg" 2833
158794155 14.4492 0.101931624114513 0.00939999986439943 788.8583984375 974.990783691406 312.756382 44.260886 0.00337536 0.0 13.4481 5725 I -SI- 2458347.47566097 33 56 "[118] IC5070_incl_201_V2492Cyg" 5537
