id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
133032313 14.6871 0.276757657527924 0.112400002777576 2107.70703125 1274.90979003906 312.876413 44.062689 0.002015624 0.0 17.0594 14150 R Red 2458722.34414352 68 105 "[118] IC5070_incl_201_V2492Cyg" 13751
82844783 17.6319 0.191686287522316 0.124200001358986 2387.82153320312 1372.17846679688 312.876418 44.062492 0.001105472 0.0 16.7354 8344 B Blue 2458437.31998843 60 90 "[118] IC5070_incl_201_V2492Cyg" 8168
186722029 15.6341 0.170677274465561 0.13680000603199 1521.55847167969 811.890319824219 312.876424 44.062601 0.002473857 0.0 17.9343 31558 V TG 2459025.44917 64 97 "[118] IC5070_incl_201_V2492Cyg" 30877
10477623 14.3188 0.0267435498535633 0.00989999994635582 1642.13928222656 3252.7119140625 312.876434 44.062359 0.001049384 0.0 14.9520 809 I I-Band 2457618.36446036 7 2 "[118] IC5070_incl_201_V2492Cyg" 755
84974377 15.2398 0.0472089312970638 0.00740000000223517 2447.80224609375 876.174621582031 312.876435 44.061708 0.0009038738 0.0 14.9377 8796 R Red 2458466.24490017 7 2 "[118] IC5070_incl_201_V2492Cyg" 8623
83211206 14.2292 0.0275556743144989 0.00329999998211861 2464.7880859375 854.114990234375 312.87644 44.061556 0.001106771 2.0 14.4131 8495 I I-Band 2458440.3113696 7 2 "[118] IC5070_incl_201_V2492Cyg" 8315
190027164 16.0594 0.181095391511917 0.0599000006914139 1688.0712890625 863.347900390625 312.876443 44.062697 0.001664966 0.0 17.9648 31936 V TG 2459042.52394 64 97 "[118] IC5070_incl_201_V2492Cyg" 31220
190014390 15.8407 0.184682920575142 0.0768999978899956 1687.68701171875 862.850219726562 312.876446 44.062604 0.001585186 0.0 17.7409 31937 V TG 2459042.52394 64 97 "[118] IC5070_incl_201_V2492Cyg" 31221
65066259 15.0004 0.0870138853788376 0.0121999997645617 776.935302734375 2959.43823242188 312.876453 44.06201 0.001742233 0.0 14.1223 5041 R -SR- 2458329.4417897 33 50 "[118] IC5070_incl_201_V2492Cyg" 4889
189694821 15.6773 0.209108799695969 0.114500001072884 1562.04479980469 874.739318847656 312.876459 44.062528 0.001475539 0.0 19.0062 31906 V TG 2459041.41796 64 97 "[118] IC5070_incl_201_V2492Cyg" 31201
197790459 15.6227 0.177800580859184 0.0996999964118004 1425.43994140625 823.724792480469 312.876459 44.062184 0.002177462 0.0 17.6746 32999 V TG 2459102.37306 64 97 "[118] IC5070_incl_201_V2492Cyg" 32234
190096368 15.2467 0.215401127934456 0.0916000008583069 1583.54284667969 834.901794433594 312.876462 44.062683 0.003375247 1.0 17.6824 31967 V TG 2459047.4488 64 97 "[118] IC5070_incl_201_V2492Cyg" 31242
176379656 15.7773 0.153202474117279 0.0733999982476234 1577.267578125 876.990295410156 312.876467 44.062709 0.001650138 0.0 17.8343 29676 V TG 2458988.65041 64 124 "[118] IC5070_incl_201_V2492Cyg" 29694
83752648 15.3039 0.0548352710902691 0.0138999996706843 2411.67236328125 872.017822265625 312.876471 44.062013 0.0009613294 0.0 15.4803 8602 R Red 2458444.32558015 7 2 "[118] IC5070_incl_201_V2492Cyg" 8421
36811716 14.1671 0.0540455803275108 0.00389999989420176 1528.86352539062 3233.56860351562 312.876481 44.062381 0.0009691775 0.0 14.7067 2933 I I-Band 2458016.35776042 7 2 "[118] IC5070_incl_201_V2492Cyg" 2667
64695934 -99.7100 0.0 -99.0 955.122924804688 7.64419984817505 312.876483 44.061735 0.001287548 528.0 -99.0000 4849 I I 2458333.37288194 31 39 "[118] IC5070_incl_201_V2492Cyg" 4743
68774845 14.3120 0.0322757139801979 0.0052000000141561 1656.59887695312 3221.78247070312 312.876492 44.062283 0.0008444251 0.0 15.2112 6396 I I-Band 2458365.3534838 7 2 "[118] IC5070_incl_201_V2492Cyg" 6083
190085113 15.6319 0.233010739088058 0.107100002467632 1583.12890625 834.423828125 312.876492 44.062574 0.002223019 0.0 18.0547 31966 V TG 2459047.4488 64 97 "[118] IC5070_incl_201_V2492Cyg" 31241
176342053 15.7009 0.1477210521698 0.0687000006437302 1576.83557128906 876.460388183594 312.8765 44.062625 0.001455055 0.0 17.7388 29675 V TG 2458988.65041 64 124 "[118] IC5070_incl_201_V2492Cyg" 29693
186220385 15.9278 0.226033449172974 0.147100001573563 1570.66345214844 786.87841796875 312.8765 44.062489 0.002004155 0.0 19.5287 31537 V TG 2459023.44343 64 97 "[118] IC5070_incl_201_V2492Cyg" 30843
35405302 15.0309 0.0387711971998215 0.00400000018998981 2482.73754882812 855.644104003906 312.876508 44.062171 0.001068168 0.0 14.4667 2873 R Red 2458008.4758941 7 2 "[118] IC5070_incl_201_V2492Cyg" 2610
197799082 15.6836 0.165685638785362 0.11150000244379 1424.99755859375 823.45947265625 312.87651 44.062377 0.001543706 0.0 17.7935 33000 V TG 2459102.37306 64 97 "[118] IC5070_incl_201_V2492Cyg" 32232
65212135 14.8606 0.0594325102865696 0.0220999997109175 200.846496582031 691.611511230469 312.876511 44.062244 0.001378829 0.0 12.9355 5084 R R 2458328.39831019 45 59 "[118] IC5070_incl_201_V2492Cyg" 4902
65125248 14.2085 0.096998356282711 0.00510000018402934 774.220825195312 2959.220703125 312.876513 44.061835 0.001636002 2.0 13.1075 5044 I -SI- 2458329.46283448 33 50 "[118] IC5070_incl_201_V2492Cyg" 4886
79400571 14.2301 0.0319137759506702 0.00800000037997961 2490.98657226562 916.056579589844 312.876515 44.061493 0.001112956 0.0 15.1211 8124 I I-Band 2458416.44030527 7 2 "[118] IC5070_incl_201_V2492Cyg" 7956
16468190 14.9888 0.0469257682561874 0.00570000009611249 2459.36206054688 915.512329101562 312.876522 44.062131 0.001064999 0.0 14.3688 1119 R Red 2457680.31265046 7 2 "[118] IC5070_incl_201_V2492Cyg" 1067
170827554 15.8373 0.182914078235626 0.13120000064373 1552.65173339844 1002.85607910156 312.876532 44.062611 0.002095016 0.0 18.0353 28597 V TG 2458972.59644 64 124 "[118] IC5070_incl_201_V2492Cyg" 27951
30160201 15.8039 0.0602327957749367 0.012699999846518 1659.76086425781 3275.68774414062 312.876534 44.062393 0.001625262 0.0 15.8377 2518 V Visual 2457926.50020139 7 2 "[118] IC5070_incl_201_V2492Cyg" 2286
