id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
141209533 16.9169 0.138111859560013 0.044599998742342 2783.87426757812 2831.25952148438 312.453443 44.178961 0.001204998 0.0 17.1059 14601 V Visual 2458745.32859375 7 2 "[118] IC5070_incl_201_V2492Cyg" 14206
66408850 15.1992 0.0488917082548141 0.0111999996006489 2794.43823242188 2785.38208007812 312.453446 44.179551 0.001227876 3.0 15.9083 5600 I I-Band 2458346.39436198 7 2 "[118] IC5070_incl_201_V2492Cyg" 5453
60322416 17.2320 0.168609231710434 0.0472000017762184 1275.06787109375 1263.462890625 312.453452 44.179037 0.0007399003 0.0 17.8271 4628 V Visual 2458313.58443432 7 2 "[118] IC5070_incl_201_V2492Cyg" 4470
192175370 16.8221 0.110303372144699 0.0230000000447035 2821.169921875 2935.4951171875 312.453457 44.179166 0.0009667407 0.0 16.9552 32219 V Visual 2459060.46483362 7 2 "[118] IC5070_incl_201_V2492Cyg" 31482
192184082 16.8221 0.110303372144699 0.0230000000447035 2821.169921875 2935.4951171875 312.453457 44.179166 0.0009667407 0.0 16.9552 32219 V Visual 2459060.46483362 7 2 "[118] IC5070_incl_201_V2492Cyg" 31482
51387761 14.9894 0.0448551699519157 0.00700000021606684 2777.08935546875 2782.8603515625 312.453458 44.179861 0.001069026 3.0 15.5441 4081 I I-Band 2458226.62025546 7 2 "[118] IC5070_incl_201_V2492Cyg" 3797
14943642 16.2830 0.105497770011425 0.0185000002384186 1357.18139648438 1350.28857421875 312.45346 44.178777 0.001020208 0.0 16.4914 1044 R Red 2457665.38406606 7 2 "[118] IC5070_incl_201_V2492Cyg" 988
45425958 15.8684 0.134094551205635 0.0342000015079975 1418.03588867188 1323.12487792969 312.453466 44.179002 0.001164618 0.0 16.5311 3549 R Red 2458100.2724349 7 2 "[118] IC5070_incl_201_V2492Cyg" 3340
29618430 16.3772 0.0993591770529747 0.0119000002741814 2838.44165039062 2838.73071289062 312.453471 44.178799 0.001370526 3.0 15.8517 2490 R Red 2457923.49386285 7 2 "[118] IC5070_incl_201_V2492Cyg" 2258
143483953 18.3363 0.226488932967186 0.11540000140667 1312.54223632812 1321.82739257812 312.453478 44.178781 0.0013733 0.0 18.3068 14848 B Blue 2458759.48986256 7 2 "[118] IC5070_incl_201_V2492Cyg" 14412
162638603 16.7939 0.14821583032608 0.069300003349781 2770.57397460938 2704.32983398438 312.453478 44.17904 0.001236106 0.0 17.2450 27289 V Visual 2458915.69738426 7 2 "[118] IC5070_incl_201_V2492Cyg" 26685
64258296 15.8228 0.0799978971481323 0.0120999999344349 1292.88989257812 1332.75463867188 312.45348 44.178536 0.001118764 3.0 15.8579 4816 R Red 2458335.59209346 7 2 "[118] IC5070_incl_201_V2492Cyg" 4703
36532321 14.9516 0.0475266315042973 0.00740000000223517 1318.17407226562 1279.55700683594 312.453486 44.179086 0.00101243 3.0 15.4916 2919 I I-Band 2458014.42541956 7 2 "[118] IC5070_incl_201_V2492Cyg" 2653
193536203 16.6464 0.151882335543633 0.0685999989509583 2799.15283203125 2928.58837890625 312.453495 44.178959 0.001355932 0.0 16.7487 32346 V Visual 2459067.4222338 7 2 "[118] IC5070_incl_201_V2492Cyg" 31604
138740235 16.8080 0.12404977530241 0.0273000001907349 2768.9794921875 2843.8115234375 312.453499 44.179195 0.0009497363 0.0 16.8082 14462 V Visual 2458735.38369936 7 2 "[118] IC5070_incl_201_V2492Cyg" 14065
186744734 17.2657 0.141373708844185 0.0557999983429909 2843.0 2932.14868164062 312.453502 44.178896 0.001352399 0.0 17.4442 31561 V Visual 2459025.48663194 7 2 "[118] IC5070_incl_201_V2492Cyg" 30868
66440875 16.7059 0.145024552941322 0.0812999978661537 1346.14721679688 1320.63586425781 312.453517 44.179049 0.002526185 0.0 17.2719 5598 V Visual 2458346.60965046 7 2 "[118] IC5070_incl_201_V2492Cyg" 5451
125065849 16.3445 0.347487539052963 0.0838999971747398 1321.76025390625 1270.20581054688 312.453519 44.179247 0.001500508 0.0 19.0741 13523 HA H-alpha 2458702.54147087 7 2 "[118] IC5070_incl_201_V2492Cyg" 13156
69851493 18.7951 0.198291599750519 0.105599999427795 2783.896484375 2809.25219726562 312.453529 44.179015 0.001644929 0.0 18.1148 6921 B Blue 2458376.34924769 7 2 "[118] IC5070_incl_201_V2492Cyg" 6949
123874171 16.8408 0.134173393249512 0.0339000001549721 2842.35888671875 2822.02319335938 312.453531 44.178909 0.001325525 0.0 16.7328 13391 V Visual 2458693.39680845 7 2 "[118] IC5070_incl_201_V2492Cyg" 13027
27153282 15.0338 0.0564873032271862 0.0173000004142523 2802.72338867188 2823.27807617188 312.453534 44.179334 0.001096178 2.0 16.6219 2321 I I-Band 2457898.50740934 7 2 "[118] IC5070_incl_201_V2492Cyg" 2101
16469592 15.9892 0.0820635706186295 0.012699999846518 1314.81530761719 1351.46838378906 312.453535 44.179077 0.001182425 3.0 15.3595 1119 R Red 2457680.31265046 7 2 "[118] IC5070_incl_201_V2492Cyg" 1067
12842972 15.9870 0.0962536260485649 0.0199999995529652 2794.7705078125 2817.6103515625 312.453539 44.17974 0.001262129 2.0 15.7604 931 R Red 2457639.34870628 7 2 "[118] IC5070_incl_201_V2492Cyg" 873
15612482 16.8415 0.118830680847168 0.0273000001907349 1374.63732910156 1346.26904296875 312.453541 44.179084 0.001523264 2.0 16.2658 1082 V Visual 2457667.32951678 7 2 "[118] IC5070_incl_201_V2492Cyg" 1027
167178499 17.1495 0.22004745900631 0.117399998009205 2766.24340820312 2732.48608398438 312.453542 44.179148 0.0007579554 0.0 18.3013 28115 V Visual 2458949.63835417 7 2 "[118] IC5070_incl_201_V2492Cyg" 27473
123083762 17.2041 0.145025908946991 0.0579999983310699 2842.48071289062 2821.35400390625 312.453543 44.178997 0.001211868 0.0 17.1164 13289 V Visual 2458688.4034809 7 2 "[118] IC5070_incl_201_V2492Cyg" 12930
72590711 15.8376 0.0753473490476608 0.0129000004380941 1332.716796875 1306.16967773438 312.453546 44.179153 0.001088727 3.0 15.6253 7284 R Red 2458388.4398206 7 2 "[118] IC5070_incl_201_V2492Cyg" 7204
2282310 18.5706 0.189433008432388 0.0863000005483627 1317.931640625 1342.77905273438 312.453548 44.178937 0.001095079 0.0 18.5414 369 B Blue 2457275.45849 7 2 "[118] IC5070_incl_201_V2492Cyg" 95
671214 15.1256 0.0464782118797302 0.0071000000461936 2741.0322265625 2810.90356445312 312.453554 44.179929 0.001319548 3.0 15.5355 39 I I-Band 2457965.44875347 7 2 "[118] IC5070_incl_201_V2492Cyg" 41
32500559 15.1290 0.0464106872677803 0.0071000000461936 2741.0322265625 2810.90356445312 312.453554 44.179929 0.001319548 3.0 15.5355 2642 I I-Band 2457965.44875347 7 2 "[118] IC5070_incl_201_V2492Cyg" 2392
70193380 15.8632 0.0760049745440483 0.00939999986439943 2815.79223632812 2801.07763671875 312.453554 44.179428 0.001020281 3.0 15.4094 7062 R Red 2458378.31760706 7 2 "[118] IC5070_incl_201_V2492Cyg" 6966
9081207 15.8717 0.0758763775229454 0.00730000017210841 1354.35241699219 1339.59118652344 312.453562 44.17912 0.001165976 3.0 15.1010 740 R Red 2457610.5385026 7 2 "[118] IC5070_incl_201_V2492Cyg" 687
190030703 16.6354 0.193763807415962 0.126000002026558 1538.29089355469 1157.45593261719 312.453562 44.178896 0.003238482 0.0 18.5627 31936 V TG 2459042.52394 64 97 "[118] IC5070_incl_201_V2492Cyg" 31220
33999527 15.1847 0.0524803586304188 0.00609999988228083 2781.12866210938 2797.72216796875 312.453567 44.179508 0.001294809 3.0 15.6050 2793 I I-Band 2457985.50370972 7 2 "[118] IC5070_incl_201_V2492Cyg" 2531
123535061 16.9162 0.150601848959923 0.0551999993622303 2866.44506835938 2828.30688476562 312.453568 44.179012 0.0009365524 0.0 17.6063 13339 V Visual 2458689.40255353 7 2 "[118] IC5070_incl_201_V2492Cyg" 12964
78263077 15.0836 0.0605051890015602 0.0116999996826053 1292.27893066406 1307.40551757812 312.453575 44.179458 0.0009012576 2.0 15.9956 8009 I I-Band 2458412.3566088 7 2 "[118] IC5070_incl_201_V2492Cyg" 7876
119617756 16.7919 0.157347366213799 0.0812000036239624 2888.67749023438 2802.81860351562 312.453584 44.178855 0.002327719 0.0 17.1200 12858 V Visual 2458664.42479311 7 2 "[118] IC5070_incl_201_V2492Cyg" 12574
118114561 16.8365 0.148884907364845 0.0502000004053116 2834.81079101562 2796.63134765625 312.453587 44.179234 0.001007367 0.0 17.5631 12644 V Visual 2458646.4663397 7 2 "[118] IC5070_incl_201_V2492Cyg" 12363
20125399 15.8848 0.0968256145715714 0.0188999995589256 1317.19421386719 1430.02685546875 312.453594 44.178785 0.001492467 3.0 15.4971 1419 R Red 2457722.38254196 7 2 "[118] IC5070_incl_201_V2492Cyg" 1322
